user,support
pierofassino,yes
nzingaretti,yes
ernestocarbone,yes
GiuseppeGuerin1,yes
gualtierieurope,yes
pdnetwork,yes
PPBaretta,yes
LuigiBrugnaro,yes
PolettiGiuliano,yes
PietroIchino,yes
enzo_salvi,yes
emanuelefiano,yes
Cesare_Damiano,yes
MarinaSereni,yes
KhalidChaouki3,yes
toiapatrizia,yes
Antonio_Decaro,yes
fabriziobarca,yes
bendellavedova,yes
flaviozanonato,yes
AlessiaMorani,yes
piccolapini,yes
giannipittella,yes
AndreaOrlandosp,yes
rosariocrocetta,yes
titti_disalvo,yes
erealacci,yes
VincenzoDeLuca,yes
mmauripd,yes
matteorenzi,yes
DarioNardella,yes
MatteoRichetti,yes
PietroGrasso,yes
robertapinotti,yes
szampa56,yes
F_Boccia,yes
angealfa,yes
maumartina,yes
guerini_lorenzo,yes
NenciniPsi,yes
ivanscalfarotto,yes
rossipresidente,yes
FrancescoBonif1,yes
alessiarotta,yes
CovelloStefania,yes
gennaromigliore,yes
itinagli,yes
GioMelandri,yes
graziano_delrio,yes
GiampaoloGalli,yes
AndreaOlivero,yes
Giorgiolaporta,yes
alessiamosca,yes
boccadutri,yes
EnricoLetta,yes
CarloCalenda,yes
flavagno,yes
PaoloGentiloni,yes
SteGiannini,yes
Oliverio_MarioG,yes
dariofrance,yes
l_lanzillotta,yes
davidefaraone,yes
bragachiara,yes
sbonaccini,yes
bobogiac,yes
micaela_campana,yes
TeresaBellanova,yes
VicoLudovico,yes
virginiomerola,yes
Ettore_Rosato,yes
Maurizio_Lupi,yes
ckyenge,yes
serracchiani,yes
enrico_zanetti,yes
LauraPuppato,yes
AndreaRomano9,yes
giorgio_gori,yes
MC_Carro,yes
AnnaAscani,yes
LiaQuartapelle,yes
dietnam,yes
lauraboldrini,yes
ale_moretti,yes
DarioParrini,yes
sandrogozi,yes
robersperanza,no
FrancBusinarolo,no
Capezzone,no
luigidimaio,no
matteodallosso,no
CorradinoMineo,no
LucioMalan,no
FrancoFrattini,no
senantoniorazzi,no
Carlo_Martelli,no
Chiara_DiBe,no
m_montevecchi,no
Roberto_Fico,no
DSantanche,no
PaoloParentela,no
civati,no
vitopetrocelli,no
LuigiGallo15,no
carlosibilia,no
giacomos,no
zaiapresidente,no
virginiaraggi,no
RaffaeleFitto,no
GianlucaVasto,no
beppe_grillo,no
guglielmopicchi,no
FedericoDinca,no
RobertoMaroni_,no
BSaltamartini,no
ManlioDS,no
giosilvia86,no
AngeloTofalo,no
ale_dibattista,no
berenice0104,no
N_DeGirolamo,no
DaniloToninelli,no
renatapolverini,no
M_Fedriga,no
AndCol81,no
MirkoBusto,no
vilmamoronese,no
elio_vito,no
g_brescia,no
FedericaDaga,no
grotondi,no
F_DUva,no
QuagliarielloG,no
tatianabasilio1,no
carlaruocco1,no
LeolucaOrlando1,no
gianfranco_fini,no
lauraravetto,no
NichiVendola,no
renatobrunetta,no
StefanoFassina,no
BarbaraLezzi,no
mara_carfagna,no
MFantinati,no
GianlucaVacca,no
NFratoianni,no
BiancofioreMiky,no
DadoneFabiana,no
antoniopalmieri,no
AlfonsoBonafede,no
AlbertoAirola,no
r_formigoni,no
mirellaliuzzi,no
AlemannoTW,no
GabriGiammanco,no
cla_cominardi,no
DgPilot81,no
SilviaBM5S,no
Maxdero,no
GiorgiaMeloni,no
GiuliaDiVita,no
Emanuela_Corda,no
dellorco85,no
NicolaMorra63,no
matteosalvinimi,no
Ale_Mussolini_,no
loscibo,no
riccardo_fra,no
TiziCip,no
mariaederaM5S,no
giamma71,no
msgelmini,no
DalilaNesci,no
robertalombardi,no
MassimoLeaderPD,no
Azzurra_C,no
_paolo_romani_,no
DeborahBergamin,no
GiuliaGrilloM5S,no
micheleemiliano,no
GiovanniToti,no
silviachimienti,no
c_appendino,no
Gallinella_F,no
PatriziaTerzoni,no
gasparripdl,no
lucatelese,no
nomfup,yes
VauroSenesi,no
gparagone,no
SenatoriPD,yes
MarcoMariani_IT,yes
Deputatipd,yes
fnicodemo,yes
danielecina,yes
StefanoCeccanti,yes
valeriafedeli,yes
AndreaMarcucci,yes
matteoricci,yes
AnnaLeonardi1,yes
ErasmoDAngelis,yes
MilaSpicola,yes
stefaniapezzopa,yes
SteAlbamonte,yes
lorenzabo,yes
aureliomancuso,yes
PD_ROMA,yes
antgentile,yes
enzabrunobossio,yes
lucianonobili,yes
Barracciu,yes
g_falcomata,yes
PdMilano,yes
ElisabScalambra,yes
AntonellaGramig,yes
RaffaelePizzati,yes
laura_coccia,yes
andreademaria_,yes
danieledvpd,yes
PietroBussolati,yes
pdcampania,yes
AntoDiMario,yes
CarloSantaroni,yes
Mov5Stelle,no
LelloEsposito5,no
antonio_bordin,no
iovotono,no
forza_italia,no
Storace,no
ElioLannutti,no
LegaNordPadania,no
IlMattinale,no
PossibileIt,no
FratellidItaIia,no
lega_nord,no
GruppoFICamera,no
AntoLari1986,no
social_5stars,no
EGardini,no
giulianocossari,no
